"","Fecha","Prec","pet","Q"
"37","01/01/1961",267.0338571,95.24771429,157.9
"38","02/01/1961",150.0945714,78.61328571,205.15
"39","03/01/1961",82.362,94.29271429,250.8
"40","04/01/1961",59.88357143,90.752,170.675
"41","05/01/1961",30.38914286,84.02728571,72.75
"42","06/01/1961",0.257285714,75.97885714,39.85
"43","07/01/1961",0.770428571,67.97257143,19.16
"44","08/01/1961",4.196714286,97.83657143,14.06
"45","09/01/1961",36.78042857,98.15228571,14.31
"46","10/01/1961",35.84457143,116.7761429,13.61
"47","11/01/1961",122.4224286,102.6308571,36.3
"48","12/01/1961",226.0331429,91.03014286,153.4
"49","01/01/1962",141.6538571,96.032,179.8
"50","02/01/1962",174.0085714,79.621,237.5
"51","03/01/1962",140.3267143,87.64728571,364.9
"52","04/01/1962",43.94814286,88.02214286,184.2
"53","05/01/1962",9.237285714,84.00442857,70.95
"54","06/01/1962",0.211142857,69.00728571,39.3
"55","07/01/1962",0.819714286,65.75528571,24.5
"56","08/01/1962",0.697428571,93.61128571,17
"57","09/01/1962",48.95071429,98.72871429,14.7
"58","10/01/1962",29.58228571,114.3745714,15
"59","11/01/1962",31.02214286,118.591,16.4
"60","12/01/1962",203.2937143,95.49557143,154
"61","01/01/1963",195.5894286,87.82357143,283.5
"62","02/01/1963",246.0074286,79.10242857,301.75
"63","03/01/1963",156.7445714,87.46,270.25
"64","04/01/1963",71.19171429,85.12185714,247.5
"65","05/01/1963",12.418,80.554,107.5
"66","06/01/1963",0.245428571,68.31885714,36
"67","07/01/1963",0.145,64.97971429,24.75
"68","08/01/1963",2.913142857,97.59985714,20.25
"69","09/01/1963",66.24614286,98.46185714,18.6
"70","10/01/1963",32.10414286,116.3058571,21.4
"71","11/01/1963",50.33271429,114.614,21
"72","12/01/1963",125.2125714,100.572,110
"73","01/01/1964",101.2411429,102.4252857,90.5
"74","02/01/1964",123.4232857,82.09314286,128.25
"75","03/01/1964",133.9665714,93.53957143,221.25
"76","04/01/1964",68.19157143,93.39485714,189.575
"77","05/01/1964",18.94228571,83.16728571,62.9
"78","06/01/1964",0.036142857,69.45628571,23.45
"79","07/01/1964",3.536142857,57.69528571,17
"80","08/01/1964",0.945,92.38071429,15.5
"81","09/01/1964",16.64371429,97.294,12.65
"82","10/01/1964",42.37514286,114.7892857,9.975
"83","11/01/1964",144.1077143,110.8907143,10.9
"84","12/01/1964",156.9317143,107.1784286,40.25
"85","01/01/1965",142.2628571,95.23714286,139.6
"86","02/01/1965",118.4412857,80.19071429,246
"87","03/01/1965",110.1282857,92.18742857,309.15
"88","04/01/1965",63.63257143,87.96714286,167.15
"89","05/01/1965",7.560571429,86.03785714,68
